-190.45, -169.999, 736
-189.123, -160.124, 726
-188.678, -149.416, 628
-192.64, -124.884, 765
-179.349, -114.967, 662
-171.847, -121.032, 532
-106.053, -175.86, 773
-127.807, -204.951, 663
-182.35, -18.235, 750
-172.289, -20.5378, 657
-51.2039, -78.7752, 756
-55.5039, -73.2179, 680
-55.2677, -32.2395, 663
-85.7045, -145.698, 705
1.28861, -126.283, 742
-1.15662, -120.288, 666
-15.7342, -62.9368, 755
-7.8671, -17.0454, 755
-9.68365, -10.8941, 697
76.0486, -9.17828, 755
62.4974, -15.3296, 679
95.0304, -92.3907, 760
78.1778, -88.5248, 662
145.734, -35.4488, 756
118.555, -37.6718, 638
58.2217, -135.851, 745
28.7696, -172.618, 753
126.457, -29.6206, 656
152.311, -29.4382, 737
160.755, -27.8995, 765
37.3453, -158.717, 768
-85.444, -218.737, 656
26.802, -66.4223, 671
38.1754, -68.4525, 758
-60.3318, -100.553, 772
-157.602, -251.382, 750
-86.4617, -118.441, 682
-169.45, -189.04, 564
-122.227, -45.1707, 765
9.25122, -66.0802, 761
